id;lab_x_01;lab_y_02;area_03;mH_04;Hmax_05;Hmin_06;Hmax_1_07;Hmin_1_08;perim_09;40N20cr_10;E40N20s_11;N20slp8_12;20slp8g_13;asp8smm_14;sp8smma_15;sp8smma_16;sp8smma_17;sp8smma_18;2clc185_19;clc185A_20;clc185A_21;clc185A_22;clc185A_23;clc185A_24;clc185A_25;clc185A_26;clc185A_27;clc185A_28;clc185A_29;clc185A_30;clc185A_31;clc185A_32
189733;7.757133958;46.76327716;88.1;1141;2009;553;2009;553;61638;1141;16;0.04;0.48;315;33;15;22;30;;0;0;2;1;4;41;35;0;6;3;41;7;2
193539;7.216963753;46.72184568;85.9;1002;1699;568;1699;568;49112;1002;12;0.12;0.29;343;39;21;12;28;;0;0;0;0;0;45;29;0;16;0;24;25;7
158293;7.481588156;46.58780038;86.8;1663;2600;846;2600;846;48631;1664;25;0.01;0.78;11;31;24;20;26;;0;0;3;5;10;19;17;0;2;10;54;0;0
144474;6.364153307;46.59536418;81.8;843;1662;519;1662;519;56764;843;7;0.38;0.15;109;12;55;22;12;;0;0;0;0;0;40;5;3;32;3;3;53;1
161136;7.882743598;46.52436617;90.9;2290;4045;797;4045;797;44143;2290;32;0.01;0.87;13;36;23;20;21;;26;0;5;32;6;10;5;0;6;0;21;0;0
170087;7.556615639;46.48175169;97.7;1856;3180;1012;3180;1012;44755;1856;25;0.02;0.8;15;28;28;16;28;;1;0;1;18;6;17;17;0;0;1;49;5;2
159627;7.342129414;46.44890327;92.3;1822;3204;1038;3204;1038;49387;1822;24;0.02;0.77;318;25;24;15;36;;3;0;4;16;5;14;14;0;0;10;48;0;1
177838;7.047981463;46.41586705;81.8;1495;2422;780;2422;780;62412;1495;22;0.03;0.7;42;29;28;22;21;;0;2;2;1;3;34;22;0;12;0;55;2;0
130278;7.459241427;46.41921124;95.1;1972;3210;1062;3210;1062;54600;1972;23;0.05;0.7;335;35;21;15;29;;10;0;4;25;6;20;20;0;0;0;34;0;1
127040;8.130571912;46.50751477;84.7;2659;4134;1022;4134;1022;51996;2659;25;0.01;0.78;149;7;40;32;20;;47;0;2;19;5;8;7;0;1;0;18;0;2
161762;6.097925734;46.35825726;88.7;699;1512;375;1512;375;53058;699;7;0.4;0.16;138;10;39;40;11;;0;1;1;0;1;44;10;17;17;0;15;24;15
102532;8.044052664;46.28453886;77.4;1999;3352;671;3352;671;44544;1999;27;0.01;0.85;306;36;11;17;36;;4;0;4;19;10;29;23;0;6;0;31;0;3
166450;6.901588408;46.29025067;92.1;982;2224;371;2224;371;81780;982;18;0.29;0.57;56;31;46;14;10;;0;0;3;0;5;44;18;10;16;1;13;22;12
157220;7.0945148;46.25744133;87.4;1644;3133;397;3133;397;49685;1644;27;0.03;0.8;295;33;12;25;31;;2;0;3;21;5;34;26;0;8;1;28;2;5
150128;7.429153832;46.34373377;92.5;1916;3208;494;3208;494;52569;1916;22;0.02;0.69;159;8;31;42;19;;2;1;1;31;7;28;27;0;0;1;16;7;7
133867;6.868733149;46.1652441;99.6;1706;3205;690;3205;690;44560;1706;27;0.01;0.84;22;32;26;20;22;;2;0;8;17;4;30;13;0;17;0;36;0;3
199987;8.043075083;46.19356601;102.2;2301;3985;1054;3985;1054;52398;2301;28;0.01;0.85;65;26;35;21;18;;10;0;7;33;9;16;13;0;3;0;26;0;0
123135;7.315637516;46.3081244;79.9;1820;3154;478;3154;478;58507;1820;22;0.02;0.68;149;6;39;38;17;;4;0;2;26;8;23;22;0;1;8;21;6;3
168060;7.650256529;46.10190775;102.7;2712;4447;1442;4447;1442;47578;2712;29;0;0.86;305;22;26;12;39;;26;0;4;37;7;9;9;0;0;0;18;0;1
