id;lab_x_01;lab_y_02;area_03;mH_04;Hmax_05;Hmin_06;Hmax_1_07;Hmin_1_08;perim_09;40N20cr_10;E40N20s_11;N20slp8_12;20slp8g_13;asp8smm_14;sp8smma_15;sp8smma_16;sp8smma_17;sp8smma_18;2clc185_19;clc185A_20;clc185A_21;clc185A_22;clc185A_23;clc185A_24;clc185A_25;clc185A_26;clc185A_27;clc185A_28;clc185A_29;clc185A_30;clc185A_31;clc185A_32
108969;6.428989596;46.6302011;148.1;797;1662;437;1662;437;74230;797;7;0.32;0.12;115;12;50;27;11;;0;0;0;0;1;42;3;9;30;2;3;51;2
181680;7.50538899;46.5793962;128.7;1642;2601;675;2601;675;55965;1642;25;0.01;0.8;342;30;23;14;32;;0;0;2;4;8;17;16;0;1;10;52;7;0
168842;6.163283596;46.5664843;142;1231;1595;1003;1595;1003;72542;1231;8;0.21;0.13;43;28;23;26;24;;0;1;4;0;0;66;58;2;6;0;23;1;4
146670;7.890091401;46.53319151;140.2;2179;4046;724;4046;724;56316;2179;31;0.01;0.87;345;33;23;17;27;;23;0;3;26;4;17;10;0;7;0;25;0;1
185629;7.564316753;46.48916621;144.7;1744;3180;758;3180;758;63019;1744;25;0.01;0.82;50;24;32;17;26;;1;0;0;13;5;19;15;0;4;2;54;4;2
171991;7.712690279;46.4668151;145.3;2276;3675;933;3675;933;65888;2276;30;0.03;0.82;327;32;19;23;26;;19;1;2;39;8;12;10;0;2;0;18;0;1
180333;8.025245583;46.5003058;144.2;2975;4089;1545;4089;1545;59058;2975;22;0.06;0.64;155;12;33;37;19;;72;0;0;22;4;2;2;0;0;0;2;0;0
118624;7.753567272;46.39217667;161.7;2369;3854;630;3854;630;71780;2369;29;0.01;0.88;179;19;23;35;23;;19;0;4;33;8;17;16;0;1;0;19;0;0
132775;7.039981436;46.3533703;144.4;1531;3165;380;3165;380;68133;1531;24;0.01;0.77;237;24;17;33;25;;1;0;4;7;3;40;30;1;9;5;36;1;3
186372;6.877638065;46.20250384;142.9;1612;3205;395;3205;395;58816;1613;25;0.01;0.82;29;34;27;19;19;;2;0;6;12;3;35;20;0;16;0;36;0;6
188735;8.18013677;46.34955613;116.7;2213;3222;914;3222;914;59263;2213;28;0.01;0.87;291;33;14;28;24;;3;0;8;27;14;22;17;0;5;0;25;0;0
116941;8.081584143;46.17616293;170.5;2244;3985;850;3985;850;62185;2244;29;0.01;0.87;81;24;32;24;19;;9;0;6;28;15;21;13;0;8;0;22;0;0
154353;6.946584185;46.07047176;151.2;2048;3455;650;3455;650;70774;2048;29;0.03;0.87;75;27;31;22;21;;7;3;11;25;12;24;20;0;5;2;15;1;1
189653;7.71360011;45.98528395;160.7;3009;4521;1629;4521;1629;72870;3009;23;0.02;0.67;354;42;18;17;23;;57;0;1;28;4;2;2;0;0;0;6;0;0
121096;7.091177977;45.97287466;121.3;2247;3838;927;3838;927;61060;2247;29;0.01;0.86;61;25;38;15;22;;18;0;6;24;7;20;19;0;1;1;23;0;1
154222;7.952196738;46.07410495;157.5;2786;4478;1552;4478;1552;55617;2786;26;0.02;0.82;41;26;33;12;28;;28;1;2;43;17;6;6;0;0;0;3;0;1
165152;7.20204068;45.93468194;154.2;2337;4256;928;4256;928;62115;2337;27;0.01;0.86;303;23;24;16;37;;5;0;18;29;12;14;14;0;0;0;23;0;0
134565;6.197042482;46.47587114;121.2;1029;1619;372;1619;372;68746;1029;9;0.16;0.15;143;11;35;41;14;;0;0;0;0;0;57;36;8;13;1;14;21;6
152377;6.014612125;46.27511575;145.3;750;1719;350;1719;350;68012;750;10;0.36;0.3;133;8;48;34;10;;0;0;0;0;2;36;12;18;7;1;16;30;14
131141;6.935227218;46.66344639;145.3;806;1204;627;1204;627;68191;806;6;0.29;0.04;352;31;25;18;26;;0;0;0;0;0;15;10;0;5;0;0;80;4
134011;9.906603005;46.77868459;128;2201;3081;1508;3081;1508;62337;2201;23;0.02;0.78;275;19;28;19;34;;0;0;7;18;20;15;15;0;1;0;36;0;3
166687;9.300113685;46.65796217;138.2;1916;3018;621;3018;621;75266;1916;26;0;0.88;64;19;45;10;26;;0;0;8;11;7;29;29;0;0;0;46;0;0
152062;8.751335463;46.66243379;156.6;2148;3258;1049;3258;1049;62862;2148;26;0.01;0.85;60;22;34;19;24;;1;1;11;24;10;10;8;0;2;0;42;0;1
117356;8.849463278;46.60975853;126.7;2223;3153;1053;3153;1053;65268;2223;26;0.02;0.85;335;25;28;18;30;;5;1;15;22;22;8;7;0;1;0;26;0;0
122033;8.483566762;46.57626139;129.8;2307;3527;1429;3527;1429;54829;2307;24;0.01;0.81;66;29;28;25;18;;6;0;8;29;13;0;0;0;0;0;43;0;0
164528;9.26978465;46.53000476;146.7;2258;3344;1457;3344;1457;80245;2258;26;0.01;0.83;59;30;27;26;18;;5;0;9;26;11;5;5;0;0;0;43;0;0
165520;8.521676773;46.37970969;121.3;1939;3210;438;3210;438;55423;1939;32;0.02;0.89;104;24;33;27;17;;3;0;10;30;14;28;3;17;8;4;10;0;0
148179;9.66384258;46.36106486;149.2;2222;3317;815;3317;815;58807;2222;28;0.02;0.83;226;24;23;26;27;;10;1;6;29;17;21;16;3;3;0;17;0;0
193228;9.217082696;46.42327843;152.1;1891;3073;362;3073;362;80178;1891;28;0.01;0.83;154;18;32;23;27;;0;0;7;23;13;35;31;2;2;3;16;1;1
126674;9.112861412;46.32629517;141;1855;3170;304;3170;304;75429;1855;31;0;0.94;121;15;41;19;25;;0;0;9;17;12;43;37;5;1;0;18;1;0
132575;8.778501222;46.33693531;139;1657;2836;532;2836;532;57032;1657;34;0;0.95;137;23;27;29;21;;0;0;12;12;13;41;11;24;5;4;19;0;0
172078;8.553782273;46.22025686;146.7;1479;2501;261;2501;261;60839;1479;30;0;0.93;130;25;26;33;16;;0;0;4;2;4;68;18;31;19;5;18;0;0
106246;9.523826931;46.43422489;123.9;2419;3114;1665;3114;1665;49265;2419;25;0.01;0.84;352;22;34;16;28;;0;0;8;25;23;3;3;0;0;0;41;0;0
187755;8.77587596;46.77636501;116.8;2165;3259;524;3259;524;62513;2165;29;0.01;0.84;241;26;19;32;24;;18;0;11;36;8;11;11;0;0;0;16;0;0
186949;8.163071478;46.80260223;116.8;1317;2431;468;2431;468;59971;1317;22;0.05;0.72;56;22;36;16;26;;0;2;2;1;3;49;27;2;20;3;38;1;1
111740;7.501279155;46.734466;143;811;2110;505;2110;505;82675;811;11;0.26;0.27;52;30;42;11;16;;0;0;0;0;1;24;11;2;11;0;15;51;8
173475;7.394819166;46.79648929;129.9;954;1733;599;1733;599;57309;954;12;0.08;0.26;355;43;19;18;20;;0;0;0;0;0;41;25;0;16;0;19;39;1
146269;7.86545095;47.43812387;150.3;588;1095;319;1095;319;66578;588;12;0.1;0.32;315;28;22;22;28;;0;0;0;0;0;43;1;9;33;0;7;40;10
140956;8.018774073;47.4762803;127.7;529;906;290;906;290;66161;529;11;0.11;0.24;358;30;25;22;23;;0;0;0;0;0;39;2;6;31;0;0;53;8
105947;8.288766867;47.31561629;122.6;525;885;351;885;351;72270;525;5;0.38;0.04;35;26;36;14;23;;0;0;0;0;0;25;4;1;19;1;0;56;18
118454;7.202548824;47.30083719;144.4;872;1326;468;1326;468;77936;872;13;0.14;0.34;17;41;18;29;12;;0;0;0;0;0;48;5;1;43;0;21;28;3
146244;7.648406431;47.32066406;144.8;809;1383;458;1383;458;78544;809;16;0.06;0.5;150;36;16;37;12;;0;0;0;0;0;52;0;15;37;0;29;13;5
150968;8.190188729;47.12849322;159.3;586;868;457;868;457;87729;586;5;0.4;0.04;281;;;;;;0;9;0;0;0;14;5;0;9;2;0;65;11
149055;7.335597067;47.25587724;144.2;935;1397;526;1397;526;81003;935;14;0.08;0.35;38;43;12;36;10;;0;0;0;0;0;51;4;3;44;0;20;22;7
131516;7.791017757;47.10208374;131.4;691;1095;422;1095;422;82385;691;8;0.18;0.1;349;32;26;14;28;;0;0;0;0;0;23;20;0;3;0;0;70;7
185883;7.535514858;47.05959692;115.9;554;818;480;818;480;62524;554;4;0.55;0.03;17;32;28;18;23;;0;0;0;0;0;27;11;0;17;1;0;55;16
104421;7.080252351;47.17009802;152.9;1028;1593;590;1593;590;90392;1028;14;0.08;0.37;9;44;12;34;10;;0;0;0;0;0;44;2;5;37;0;21;30;5
