id;lab_x_01;lab_y_02;area_03;mH_04;Hmax_05;Hmin_06;Hmax_1_07;Hmin_1_08;perim_09;40N20cr_10;E40N20s_11;N20slp8_12;20slp8g_13;asp8smm_14;sp8smma_15;sp8smma_16;sp8smma_17;sp8smma_18;2clc185_19;clc185A_20;clc185A_21;clc185A_22;clc185A_23;clc185A_24;clc185A_25;clc185A_26;clc185A_27;clc185A_28;clc185A_29;clc185A_30;clc185A_31;clc185A_32
151730;7.702016547;46.47424509;185.2;2096;3675;758;3675;758;77877;2096;29;0.04;0.81;308;28;19;20;33;;15;1;2;32;7;15;13;0;2;1;25;1;2
189017;8.045614788;46.62041972;179.9;2057;4059;651;4059;651;65850;2057;27;0.01;0.78;265;31;17;33;20;;22;0;2;16;3;21;18;1;3;0;33;1;1
184394;6.844119867;46.56660388;184.5;790;1499;531;1499;531;96000;790;7;0.27;0.08;265;18;22;21;39;;0;0;0;0;0;20;11;0;8;0;5;71;5
187851;7.198564605;46.59537485;179;1389;2277;675;2277;675;76398;1389;24;0.02;0.75;293;26;22;25;27;;0;0;1;1;4;40;30;0;9;3;49;1;1
118624;7.753567272;46.39217667;161.7;2369;3854;630;3854;630;71780;2369;29;0.01;0.88;179;19;23;35;23;;19;0;4;33;8;17;16;0;1;0;19;0;0
116941;8.081584143;46.17616293;170.5;2244;3985;850;3985;850;62185;2244;29;0.01;0.87;81;24;32;24;19;;9;0;6;28;15;21;13;0;8;0;22;0;0
137450;7.808700827;45.97316477;205.4;2995;4521;1610;4521;1610;79924;2996;23;0.02;0.66;336;42;15;19;25;;54;0;1;30;5;3;3;0;0;0;7;0;0
177422;7.440766995;46.4273607;202.1;1783;3210;919;3210;919;84859;1783;23;0.04;0.73;323;29;23;17;31;;5;0;3;15;4;21;21;0;1;5;47;0;1
124344;6.946176796;46.06828889;164.2;1968;3455;435;3455;435;79150;1968;29;0.04;0.85;79;26;33;21;20;;7;2;10;23;13;26;21;0;5;3;14;1;1
165152;7.20204068;45.93468194;154.2;2337;4256;928;4256;928;62115;2337;27;0.01;0.86;303;23;24;16;37;;5;0;18;29;12;14;14;0;0;0;23;0;0
147671;6.935222344;46.66347981;193.3;781;1204;568;1204;568;96409;781;6;0.3;0.04;3;33;24;20;23;;0;0;0;0;0;16;9;0;7;0;0;77;6
132281;8.35289339;46.73116258;168.8;2093;3479;625;3479;625;69423;2093;28;0.01;0.85;291;35;11;30;23;;20;0;8;26;8;16;9;1;7;0;22;0;0
152062;8.751335463;46.66243379;156.6;2148;3258;1049;3258;1049;62862;2148;26;0.01;0.85;60;22;34;19;24;;1;1;11;24;10;10;8;0;2;0;42;0;1
170201;9.15664786;46.58614092;185.8;2215;3328;878;3328;878;72912;2215;27;0.01;0.86;8;28;32;13;27;;4;1;5;21;15;14;12;0;2;0;41;0;0
137272;8.487700599;46.57655792;196.6;2257;3527;1081;3527;1081;78421;2257;25;0.02;0.82;57;28;26;25;21;;4;0;10;26;14;1;0;0;1;0;44;0;1
120417;8.304183671;46.59796146;208.3;2358;4084;634;4084;634;82584;2358;29;0.04;0.84;75;27;26;25;23;;24;3;6;38;12;6;2;0;4;0;11;0;0
167826;9.771999675;46.62317194;159.7;2239;3311;962;3311;962;68056;2239;27;0.01;0.85;303;31;18;27;24;;2;0;6;30;17;21;21;0;0;0;23;0;1
154921;9.494666302;46.43299959;199.6;2378;3168;1461;3168;1461;64722;2378;25;0.02;0.84;20;21;35;15;28;;0;2;6;27;18;5;5;0;0;0;42;0;0
117891;9.788956696;46.4678294;196.8;2349;3407;1697;3407;1697;83362;2349;22;0.08;0.71;43;26;27;23;24;;5;4;2;27;19;15;15;0;1;0;24;0;4
101308;9.308297109;46.54472038;192.4;2225;3344;1342;3344;1342;91028;2225;26;0.02;0.82;84;30;25;30;16;;4;0;9;26;12;9;9;0;0;0;41;0;0
164454;8.635870889;46.43247618;194.2;1842;3019;438;3019;438;66134;1842;31;0.01;0.91;199;21;27;25;26;;0;1;8;16;19;37;12;5;20;0;18;0;0
144210;9.225806113;46.34028493;204.6;1793;3073;315;3073;315;89352;1793;29;0.02;0.85;174;18;31;20;31;;0;0;7;19;12;41;34;2;5;4;13;2;1
109342;10.05394333;46.37864175;202.5;2087;3789;723;3789;723;83566;2088;26;0.03;0.82;112;21;32;22;25;;5;2;7;15;19;32;30;0;2;0;20;0;1
159165;8.779547881;46.33609866;187.4;1656;2836;485;2836;485;69449;1656;34;0;0.95;177;22;25;29;24;;0;0;13;11;13;41;11;26;4;3;19;0;0
126407;8.484628623;46.13942383;172;1221;2423;260;2423;260;84268;1221;26;0.01;0.87;109;30;22;31;17;;0;0;5;1;3;67;16;31;20;7;10;6;1
152426;9.923557589;46.43336815;193.1;2598;3981;1694;3981;1694;75354;2598;25;0.02;0.79;344;27;29;14;30;;20;0;7;32;20;8;8;0;0;0;13;0;1
137897;7.180898562;47.17331908;216.3;994;1593;432;1593;432;126474;994;14;0.09;0.39;51;38;15;37;10;;0;0;0;0;1;48;1;7;40;0;20;25;7
146269;7.86545095;47.43812387;150.3;588;1095;319;1095;319;66578;588;12;0.1;0.32;315;28;22;22;28;;0;0;0;0;0;43;1;9;33;0;7;40;10
153563;8.036316819;47.11330972;183.6;655;1381;488;1381;488;83112;655;8;0.28;0.14;354;33;23;19;25;;0;0;0;0;0;19;8;0;10;1;4;70;5
178429;9.411950407;47.36272646;162.2;1068;2431;611;2431;611;76206;1068;15;0.07;0.38;313;34;16;24;25;;0;0;1;2;4;30;21;0;8;0;58;0;5
181683;8.275049231;47.19714131;180;562;885;354;885;354;98360;562;5;0.37;0.04;263;;;;;;0;9;0;0;0;17;3;0;13;1;0;59;14
