id;lab_x_01;lab_y_02;area_03;mH_04;Hmax_05;Hmin_06;Hmax_1_07;Hmin_1_08;perim_09;40N20cr_10;E40N20s_11;N20slp8_12;20slp8g_13;asp8smm_14;sp8smma_15;sp8smma_16;sp8smma_17;sp8smma_18;2clc185_19;clc185A_20;clc185A_21;clc185A_22;clc185A_23;clc185A_24;clc185A_25;clc185A_26;clc185A_27;clc185A_28;clc185A_29;clc185A_30;clc185A_31;clc185A_32
149838;7.247549385;47.32581197;203.2;799;1326;416;1326;416;85391;799;12;0.15;0.32;22;41;19;28;13;;0;0;0;0;0;46;4;1;42;0;17;33;3
155113;8.190450363;47.12842436;195;581;868;409;868;409;104644;581;6;0.37;0.07;310;;;;;;0;7;0;0;0;18;5;0;12;1;0;62;11
101680;7.685032262;47.31853095;200.7;746;1383;418;1383;418;98262;746;14;0.15;0.44;134;30;19;40;11;;0;0;0;0;0;49;1;13;35;0;22;18;10
114553;7.790981164;47.10211814;184.8;657;1095;404;1095;404;97730;657;8;0.2;0.09;353;32;26;15;28;;0;0;0;0;0;24;20;0;4;0;0;67;9
185047;9.42874004;46.92858928;155.5;1771;3175;499;3175;499;73123;1771;30;0.02;0.89;92;25;30;26;18;;1;0;8;20;14;31;24;0;7;0;24;0;1
106594;7.997846697;46.92588677;168.8;1253;2290;675;2290;675;84247;1252;18;0.04;0.55;7;26;28;19;27;;0;0;2;3;3;35;24;0;11;2;53;0;2
144528;8.827433096;46.94357589;200.6;1628;2734;537;2734;537;77311;1628;23;0.03;0.7;315;36;15;26;23;;0;0;1;22;10;22;10;2;11;0;44;1;0
119712;8.420480887;46.82252386;204.3;1653;3138;489;3138;489;68808;1654;28;0.03;0.82;324;30;21;20;29;;4;0;5;18;6;24;9;2;13;0;41;0;1
162027;7.847701244;46.94752212;203.9;1030;2045;645;2045;645;78660;1030;17;0.04;0.55;279;25;22;22;31;;0;0;0;0;0;53;47;0;6;1;43;1;2
188728;7.799197951;46.84617358;206.9;1151;2162;668;2162;668;98788;1151;16;0.05;0.45;325;33;17;24;26;;0;0;1;0;3;41;36;0;5;1;51;3;0
152997;9.664410089;46.80727377;207.7;1927;2924;648;2924;648;69013;1927;23;0.01;0.78;276;29;20;30;21;;0;0;2;16;8;30;29;0;1;0;44;0;1
176158;7.333990969;46.70749758;179.6;1237;2149;602;2149;602;95976;1237;17;0.05;0.51;341;30;23;20;27;;0;0;0;0;5;34;26;0;8;2;47;11;1
195635;9.160526253;46.97044109;210.1;1771;3109;522;3109;522;68466;1771;28;0.01;0.87;286;23;24;23;30;;1;0;11;17;10;23;16;0;8;0;38;0;1
125627;8.745706133;47.77196495;166.9;545;838;391;838;391;85222;545;6;0.33;0.06;155;22;25;33;21;;0;0;0;0;0;22;2;11;9;0;16;54;7
103902;8.827965057;47.42736369;189.3;744;1294;448;1294;448;90584;744;13;0.1;0.38;308;28;21;22;29;;0;0;0;0;0;59;10;0;49;0;11;25;4
157735;8.738436373;47.31513783;194.4;548;1080;429;1080;429;82994;548;5;0.46;0.04;295;;;;;;0;6;2;0;1;18;8;0;10;2;0;50;22
170942;9.424716448;47.19745401;187.5;994;2361;429;2361;429;78539;994;16;0.26;0.49;86;21;48;20;9;;0;0;3;1;8;29;14;2;13;0;29;22;8
166018;8.810611543;47.04965494;167;1228;2216;808;2216;808;65115;1228;17;0.12;0.5;329;;;;;;0;6;1;1;2;40;32;0;7;1;46;2;1
154761;8.958261504;46.86296195;195.7;1959;3557;592;3557;592;67038;1959;30;0.02;0.82;53;29;29;21;21;;8;1;8;35;8;14;6;1;7;0;24;0;0
126373;6.243461816;46.60911694;209.3;1228;1660;1000;1660;1000;90416;1228;8;0.22;0.13;354;29;22;24;24;;0;5;3;0;0;62;53;1;8;2;23;1;4
103824;9.135506906;46.08991572;180.1;1000;2208;271;2208;271;105926;1000;25;0.03;0.81;186;25;20;33;22;;0;1;3;0;1;63;4;56;3;5;17;6;6
148519;10.12304394;46.5004246;242.5;2396;3244;1776;3244;1776;118028;2396;26;0.02;0.85;42;21;33;16;29;;0;0;4;33;11;16;16;0;0;3;32;1;1
185354;7.895875949;46.55735583;165;2148;4046;649;4046;649;59853;2147;31;0.01;0.85;2;33;26;17;25;;19;0;3;25;5;18;12;0;7;0;29;0;1
136404;6.493678768;46.6155925;205.6;720;1662;400;1662;400;86249;720;6;0.37;0.09;120;12;45;26;17;;0;0;0;0;0;33;2;6;24;1;2;59;4
166051;7.29156306;46.39869031;200.8;1778;3204;1021;3204;1021;67643;1778;24;0.02;0.77;341;27;27;14;32;;1;0;4;15;4;20;18;0;2;7;45;2;1
189065;7.592835356;46.15777951;210.5;2539;4447;1077;4447;1077;68925;2539;26;0.01;0.82;316;22;28;14;36;;15;1;2;31;10;14;13;0;1;0;25;0;1
131960;7.516213942;46.03760213;210.4;2600;4274;1116;4274;1116;68705;2599;27;0.01;0.84;328;21;29;13;36;;22;0;2;34;10;12;10;0;1;0;20;0;1
138389;7.378327001;45.95219123;200.3;2802;4272;1278;4272;1278;74518;2802;26;0.03;0.77;323;23;27;20;30;;34;1;4;36;8;1;1;0;0;0;15;0;0
136672;7.947812348;46.09178179;202.6;2770;4478;1470;4478;1470;64735;2770;27;0.01;0.83;13;23;31;13;33;;26;1;1;44;15;8;8;0;0;0;4;0;1
175692;9.629911418;46.5047203;206.5;2313;3340;1208;3340;1208;75515;2313;23;0.02;0.76;301;24;25;20;31;;0;1;3;26;22;13;13;0;0;0;36;0;0
163175;8.665831507;46.52532558;208.5;2019;3121;962;3121;962;96482;2019;26;0.02;0.81;108;33;18;34;15;;1;1;8;17;9;22;16;1;5;0;38;2;2
143198;8.326267478;46.50107624;205.2;2321;3599;1319;3599;1319;90146;2321;25;0.03;0.8;207;24;22;29;25;;16;0;5;25;8;12;5;0;6;1;32;0;1
103210;8.947433069;46.5456595;194.1;1988;3346;632;3346;632;77930;1988;27;0.02;0.82;180;21;25;27;27;;1;1;14;18;10;21;14;5;2;0;34;0;1
133182;7.024008738;47.41575409;209.1;571;993;377;993;377;94360;571;7;0.29;0.13;5;38;20;22;20;;0;0;0;0;0;39;0;10;29;0;4;48;8
176022;9.573641457;47.38532336;210.4;711;2341;394;2341;394;101069;711;11;0.34;0.31;80;29;37;25;10;;0;0;1;0;1;29;17;1;11;0;23;27;17
143449;6.542756508;46.92780419;202;1120;1570;731;1570;731;123529;1120;9;0.21;0.15;101;31;20;31;17;;0;0;0;0;0;50;27;0;22;0;18;30;1
128226;9.946202512;46.86274956;199.7;2159;3334;1018;3334;1018;77224;2159;25;0.01;0.79;266;28;16;31;25;;3;0;7;24;25;14;13;0;1;0;26;0;1
178925;8.960551799;47.49583465;202.4;601;1026;418;1026;418;88472;601;7;0.3;0.13;350;34;20;22;23;;0;0;0;0;0;30;12;0;18;0;7;53;11
161655;9.215440098;47.21212168;202.1;1267;2432;631;2432;631;70980;1267;19;0.03;0.59;354;36;19;24;20;;0;0;1;2;5;28;19;0;9;9;51;1;2
159899;8.525478101;47.13408389;250;693;1760;411;1760;411;99556;693;10;0.35;0.26;298;;;;;;0;18;0;0;0;27;13;0;14;0;20;23;11
125701;9.321064441;47.02239959;200.6;1640;2818;426;2818;426;68194;1640;24;0.02;0.77;41;35;34;14;17;;0;0;2;7;6;27;19;1;7;2;52;1;1
191746;8.028504707;46.4492604;198.3;2913;4089;1451;4089;1451;70394;2913;23;0.05;0.69;155;12;33;37;19;;66;0;0;24;5;2;2;0;0;0;4;0;0
130485;9.635142275;46.35427354;190.6;2140;3317;682;3317;682;64172;2141;29;0.02;0.85;300;29;20;25;27;;9;1;8;28;15;25;19;3;3;0;13;1;0
194332;9.87862585;46.76705728;196.1;2209;3081;1448;3081;1448;72401;2209;24;0.02;0.8;289;19;28;18;34;;0;0;5;21;18;15;15;0;0;0;38;0;2
197111;7.367023343;47.264581;203.3;920;1419;481;1419;481;95187;920;15;0.07;0.4;13;42;12;34;12;;0;0;0;0;0;53;3;3;46;0;21;20;6
